fdho,expend,sfdho,lnexpend,expend_rec,expend2
1365,6214.200195,0.219658196,8.734592438,0.000160922,38616284
1508,21113.69922,0.071422823,9.957676888,4.73626E-05,445788288
1862,7897.600098,0.235767826,8.974313736,0.000126621,62372088
4885,30707.25,0.159082949,10.33225441,3.25656E-05,942935232
6114,69698.25,0.087720998,11.15193081,1.43476E-05,4857846272
5799,70154.75,0.082660116,11.15845871,1.42542E-05,4921689088
4160,15032.25,0.276738346,9.6179533,6.65236E-05,225968544
5355,55858.25,0.095867664,10.93057251,1.79025E-05,3120144128
3816,31746.75,0.120201282,10.36554527,3.14993E-05,1007856128
3039,11562.09961,0.262841523,9.355487823,8.64895E-05,133682144
2102,12389.9502,0.169653624,9.424640656,8.07106E-05,153510864
1711,7016.25,0.243862465,8.855983734,0.000142526,49227764
2598,96396.25,0.026951255,11.47622299,1.03738E-05,9292236800
2606,24614.44922,0.105872773,10.11108875,4.06265E-05,605871104
2765,22735.25,0.12161731,10.03167152,4.39846E-05,516891584
3333,20483,0.162720308,9.927350998,4.8821E-05,419553280
5340,36906.5,0.144689962,10.51614285,2.70955E-05,1362089728
2600,31821.69922,0.08170525,10.36790371,3.14251E-05,1012620544
1140,13618.5,0.083709657,9.519184113,7.34295E-05,185463536
1820,34401,0.05290544,10.44584084,2.90689E-05,1183428864
1474,10281.2002,0.143368483,9.238072395,9.72649E-05,105703080
2734,32165,0.084999226,10.37863445,3.10897E-05,1034587200
6240,52226.25,0.119480148,10.86334038,1.91475E-05,2727581184
273,13941.2002,0.019582245,9.542603493,7.17298E-05,194357056
4435,40849.5,0.108569257,10.61765003,2.44801E-05,1668681600
8073,15270.40039,0.528669834,9.633671761,6.54862E-05,233185136
2314,21142.5,0.109447792,9.959040642,4.72981E-05,447005312
4043,26028.5,0.155329734,10.16694736,3.84194E-05,677482816
3900,10209,0.382015854,9.231024742,9.79528E-05,104223680
1235,10950.2002,0.112783328,9.301113129,9.13225E-05,119906888
2405,19744.65039,0.121805146,9.890637398,5.06466E-05,389851232
5200,54153.25,0.096023783,10.89957333,1.84661E-05,2932574464
4160,33667.5,0.1235613,10.4242878,2.97022E-05,1133500544
1378,7561.700195,0.182234153,8.930850983,0.000132245,57179308
