"IMF_SBA","IMF_PRGF_ESF","IMF_All","GDP_pctchng","IP_pctchng","FX_FebSep_chng","FX_JunJun_chng","Equity_SepFeb_chng","Equity_SepFeb_Sharpe","Equity_JunJun_chng","Equity_JunJun_Sharpe","EquityVarDummy","FXVarDummy","GDPVarDummy","IPVarDummy","fx_res_index","Savings_pct_GNI","AgriExports_pct_MerchExp","AgriImp_pct_MerchImp","AgriValueAdd_pct_GDP","AgriValueAdd_pct_Growth","Aid_pct_GNI","BankLiquidRestoAss","BusinessDisclosure","ReservesChangesUSD","ClaimsOnGovOtherPublicLCU","ClaimOnGov_pct_anngrowth","ClaimsOnPriv_pct_anngrowth","CPIlevel","CreditDepthofInfo","CA_pct_GDP","CAUSD","CurrentTransfersReceiptsUSD","ExtDebtServicePPGIMF_pct_Exports","ExtDebtServicePPGUSD","ExtDebtServiceTotalUSD","DepositInterestRate","domesticcreditbybanks_pct_gdp","domesticcredittotal_pct_gdp","ExportsAsCapacityToImport","Exports_pct_GDP","Exports_pct_GrowthAnn","ExportsUSDBoP","Exports2000USD","ExportsconstantLCU","ExportscurrentLCU","ExportsUSD","ExportsAndIncomeBoPUSD","TradeBalance_pct_GDP","TradeBalanceLCUconst","TradeBalanceLCUcurrent","TradeBalanceUSDcurrent","Consumption_pct_GDP","FinancingViaInterCapMarkets_pct_GDP","FoodExp_pct_Exp","FoodImp_pct_Imp","FDIcurrentUSD","FDIinflows_pct_GDP","FDIinflowsUSD","FDIoutflows_pct_GDP","GDPUSD2000","GDPLCUconstant","GDPLCUcurrent","GDPcurrentUSD","GDPdeflator","GDPgrowth_pct_","GDPpercapita2000USD","GDPpercapitaLCUconstant","GDPpercapitaCurrentUSD","GDPpercapitaGrowth","GDPpercapitaPPP2005USD","GDPpercapitaPPPcurrentUSD","GDPPPP2005USD","GDPPPPcurrentUSD","GovExp_pct_GDP","GovExp_pct_Growth","GovExp2000USD","GovExpconstnantLCU","GovExpcurrentLCU","GovExpcurrentUSD","GNIcurrentLCU","GNIUSD","GNIPPPUSD","GoodsExpUSD","GoodsImpUSD","Investment_pct_GDP","Investment_pct_growth","SavingsDomestic_pct_GDP","SavingsGross_pct_GDP","SavingsGross_pct_GNI","SavingsGrossLCUcurrent","SavingsGrossUSD","Consumption_pct_Growth","ConsumptionUSD2000","ConsumptionLCUconstant","ConsumptionLCUcurrent","ConsumptionUSD","Imports_pct_GDP","Imports_pct_Growth","ImportsBoPUSD","ImportsUSD2000","ImportsLCUconstant","Importscurrent","ImportsUSD","ImportsandIncomeBoPUSD","dontuse10","GDPdeflator_pct_annual","LendingMinusDepositRate","LendingRate","M3_pct_GDP","ManufactureExports_pct_Total","ManufactureImports_pct_total","StockMarketCap_pct_GDP","StockMarkCapUSDcurrent","ExportsMerchUSD","ImportsMerchUSD","MerchandiseTrade_pct_GDP","M1LCU","M2LCU","M2_pct_GDP","M2toTotal_Reserves","M2growth_pct_","MultilateralDebtService_pct_PPGDebtService","MultilateralDebtServUSD","CapitalAccountUSD","CurrentTransfersUSD","DomesticCreditLCU","FinancialFlowsUSD","ForeignAssetsNetLCUcurrent","IncomeNetBoPUSD","IncomefromabroadLCUcurrent","IncomefromabroadUSDcurrent","PortfolioInvBondsUSD","PortfolioInvEquityUSD","other","DebtExternalPVof_pct_Exports","DebtExternalPV_pct_GNI","DebtExternalPVUSD","DebtServicePPG_pct_Exports","DebtServicePPG_pct_GNI","quasi_liq_liab_pct_GDP","REER","RealInterestRate","ServiceExportsUSD","ServiceImportsUSD","DebtST_pct_Exports","DebtST_pct_TotalExternal","DebtST_pct_Reserves","LegalRightsIndex","TermsofTradeAdjustment","DebtService_pct_GNI","Reserves_pct_ExtDebt","ReservesUSD","ReservesInMonthsImports","ReservesLessGold","Services_pct_GDP","Unemployment_pct_","IMFcreditUSD","RemittancesPaidUSD","RemittancesReceived_pct_GDP","RemittancesReceivedUSD","RemittancesNetUSD","GDPgrowth2007","GDPGrowthLast5yrs","GDPGrowthLastTenYears","CPI2007","CPIAvLast5Years","CPIAvLast10Years","CA2007_pct_GDP","CAAvLast5Yrs_pct_GDP","CAAvLast10yrs_pct_GDP","WDIDummy","EuroArea","peg","financiallyclosed","LowIncome","MiddleIncome","UpperIncome","OECD","SouthAsia","EuropeCentralAsia","MENA","EAPacific","SubSaharan","LatAmCarribean","NorthAmerica","Equity5yr_pct_chng","Equity5yrSharpe","REER5yr_pct_rise","REERDevFrom10yrAv","credit_domestic_pct_gdp","credit_domestic_pctGDP_5yr_rise","credit_domestic_pctGDP_10yr_rise","m3_5yr_chng","m2_5yr_chng"
"Italy",0,0,0,-0.059473612,-0.219905213,-0.114800969,-0.109201734,-0.538250467,-3.797065077,-0.350401418,-2.471891932,1,1,1,1,0.193902513,5.2339,0.6038,2.39,2.0356,-0.0039,NA,2.0449,7,-1893140734,NA,NA,NA,103.9588,5,-2.4282,-51031938982,27458868174,NA,NA,NA,NA,129.7268,101.7902,374000000000,29.1944,5.0277,614000000000,343000000000,372000000000,448000000000,614000000000,702000000000,-0.3064,-5921900000,-4705000000,-6439559838,78.8179,NA,6.2651,8.0812,-52081260187,1.9052,40040105736,4.3833,1180000000000,1280000000000,1540000000000,2100000000000,119.5096,1.4567,19937.3374,21639.986,35396.1777,0.7165,28681.5704,30352.6144,1700000000000,1800000000000,19.7943,1.2348,234000000000,253000000000,304000000000,416000000000,1530000000000,2090000000000,1790000000000,502000000000,498000000000,21.4885,NA,21.1821,19.744,19.8495,303000000000,415000000000,1.4504,699000000000,759000000000,906000000000,1240000000000,29.5008,4.4148,620000000000,348000000000,378000000000,453000000000,620000000000,735000000000,1.8297,2.2644,NA,6.3347,NA,84.4916,64.5311,51.0407,1070000000000,492000000000,505000000000,47.4383,NA,NA,NA,NA,NA,NA,NA,3580574769,-18905256706,1990000000000,NA,9054956281,-26917977869,-8162300000,-11171438739,NA,-14874378919,25637894127,NA,NA,NA,NA,NA,NA,112.395,3.9802,112000000000,121000000000,NA,NA,NA,3,1995808206,NA,NA,94108648458,1.5373,28384968041,11.1079,6.09,NA,11287070000,0.1506,3164977000,345676696.1,1.4567,1.07338,1.41979,1.8297,2.15702,2.21918,-2.4282,-1.78572,-0.79638,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0.640037434,0.760461994,0.064605983,0.059773659,1.297268375,0.329165287,0.405138399,NA,NA
"Jamaica",0,0,0,NA,NA,-0.178301189,-0.193628001,-0.222115866,-1.69379762,-0.2632056,-2.007137204,1,1,0,0,0.008339601,NA,0.0679,0.92,5.3171,-6.0017,0.2134,8.5503,4,439765923.4,172000000000,-1.5867,15.6523,118.6837,0,-13.3404,-1743594689,2385658496,18.8257,1025808000,1283011000,7.1358,52.4993,27.2024,NA,NA,NA,4928254393,NA,NA,NA,NA,5448989660,NA,NA,NA,NA,95.5881,29.2466,15.7047,12.7038,751496215.3,6.6296,866490000,0.8798,10332606622,579000000000,889000000000,13070030190,153.5046,1.4288,3861.5018,216441.197,4884.5318,0.9473,7251.5432,7678.7802,19403679367,20546880168,14.0065,NA,NA,NA,125000000000,1830648799,830000000000,12201146369,19180942102,2226432537,5789145820,NA,NA,4.4119,NA,NA,NA,NA,NA,NA,NA,725000000000,10662742868,NA,NA,8050150831,NA,NA,NA,NA,9232480945,9.2933,11.2062,10.0617,17.1975,46.9344,4.8627,49.0751,94.3742,12334730000,2169052000,6459269000,66.0161,96664834000,417000000000,44.3059,3.2215,12.6131,21.7004,222604000,-35540000,2039896596,467000000000,-52195000,145000000000,-661594847.7,-59101700000,-868883821.4,1796333000,0,-640440000,183.3935,131.1758,12401377080,18.8257,8.4075,36.0612,NA,5.3876,2701821856,2261005011,20.5572,15.1112,81.1262,8,NA,10.5155,18.6267,1878513939,2.4416,1878513939,37.971,9.44,0,453903000,16.4007,2143581000,1964319819,1.4288,2.31882,1.35012,9.2933,11.42582,9.39544,-13.3404,-9.21318,-7.58452,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.378349123,1.375832497,NA,NA,0.524992955,-0.047403477,0.076005924,-2.364281951,-3.869804292
"Japan",0,0,0,-0.06009272,-0.244631186,0.058883043,0.102220839,-0.396423717,-2.078904398,-0.295689721,-1.550640473,1,1,1,1,0.397261453,16.9972,0.5519,2.1826,NA,NA,NA,1.903,7,152000000000,314000000000000,-0.5934,-0.0844,100.3,6,4.801,210000000000,6770899117,NA,NA,NA,0.8082,294.166,172.4269,NA,NA,NA,807000000000,NA,NA,NA,NA,1010000000000,NA,NA,NA,NA,NA,NA,0.5072,8.8997,-51307783631,0.5059,22180067084,1.6762,5210000000000,561000000000000,516000000000000,4380000000000,92.0178,2.1,40744.9049,4390895.052,34313.4269,2.0882,31689.3393,33631.8645,4050000000000,4300000000000,NA,NA,NA,NA,NA,NA,533000000000000,4530000000000,4440000000000,678000000000,573000000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,724000000000,NA,NA,NA,NA,785000000000,0.0582,-0.6479,1.0751,1.8832,198.7189,89.73,50.542,101.5789,4450000000000,714000000000,622000000000,30.4857,498000000000000,NA,201.2369,9.0975,0.7298,NA,NA,-5216201706,-11513925416,NA,NA,77500000000000,139000000000,17200000000000,146000000000,NA,45454662461,73129063903,NA,NA,NA,NA,NA,105.6888,66.5942,2.5477,129000000000,150000000000,NA,NA,NA,7,NA,NA,NA,973000000000,14.8848,953000000000,6.3747,3.88,NA,4037210000,0.036,1577380000,1260570061,2.1,2.11786,1.17051,0.0582,-0.04626,-0.22617,4.801,3.85922,3.25759,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0.749908098,0.733220709,-0.187161135,-0.202143965,2.12728626,-0.237757596,-0.091923827,NA,NA
"Jordan",0,0,0,0.027635285,0.041519435,-0.001834086,-0.000988003,-0.321705517,-1.712401583,-0.427120575,-2.273513852,1,1,1,1,0.318161624,-2.2037,0.2645,1.266,3.1827,-3.3156,2.9093,10.323,5,-890018090.7,1954590000,5.3305,9.4339,111.9753,2,-16.7923,-2776179231,3510861625,6.8587,636931000,762767000,5.4467,118.3165,94.8354,3348050091,55.4245,0.7927,9110440220,6163432562,4039921889,6496600000,9163046655,10505532393,-39.6945,-1705968221,-4652800000,-6562482449,113.4634,8.4773,15.3589,14.9963,1787306734,11.1018,1835400000,0.2909,13263390811,8491353664,11721529730,16532482188,138.0408,6.5812,2319.2389,1484.7996,2890.8727,3.2032,4774.8469,5056.1651,27306656989,28915475170,22.2454,14.8292,2646225753,1631791374,2607497371,3677711428,12293829730,17339675428,30327264145,5700001939,12021584268,26.2311,6.8385,-13.4634,8.2266,7.8437,964285915.5,1360064777,7.5611,10347455115,6380743584,10196016713,14380841801,95.119,6.5041,15500287855,9482559297,5745890110,11149400000,15725529104,16060415039,5.3868,4.5321,3.23,8.6767,134.1514,76.2435,57.2631,249.3057,41216420000,5699870000,13712000000,117.4165,4803250000,15724600000,126.7383,2.7986,12.4251,42.5189,270816000,12834989.8,2778703414,13868500000,-165044000,7770761524,834964988.8,572300000,807193239.7,-1598000,346000000,839915525.1,68.7389,53.8889,7965059060,6.0628,3.6733,93.1734,NA,3.9649,3410438281,3478703586,7.1279,11.499,12.1415,4,-691871797.7,4.399,94.7083,7924938974,5.9213,7541997599,41.6703,NA,87560000,479267000,20.772,3434134000,2993654042,6.5812,7.0846,5.7126,5.3868,4.02482,2.80942,-16.7923,-6.40416,-2.0439,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,2.368803168,1.527114864,NA,NA,1.183164682,0.34855009,0.425297692,17.51900431,14.71936178
"Kazakhstan",0,0,0,NA,0.028846154,-0.206962929,-0.197201356,-0.643213673,-1.224742919,-0.590716057,-1.124782226,1,1,0,1,0.035394321,18.7386,0.5783,0.8571,6.0966,8.9,0.2206,6.5359,7,2414703360,-2650000000000,-19.9902,73.237,120.2899,4,-7.8456,-8226386805,903812300.2,1.3283,735456000,27522708000,NA,40.9589,58.9415,931000000000,49.435,9,51906127155,16587209565,749000000000,6350000000000,51834266014,55369685134,6.8336,-53350088704,878000000000,7165263974,57.5486,26.1861,4.257,6.8412,7974863799,9.717,10188630000,3.0055,36113702490,2260000000000,12800000000000,105000000000,567.5929,8.9,2332.2937,146207.7533,6771.6434,7.6615,10258.6075,10863.0108,159000000000,168000000000,10.1914,14.7,4000517396,201000000000,1310000000000,10686054672,11200000000000,91767042024,147000000000,48351135149,33260182523,35.6178,23.9,42.4514,27.8634,31.8368,3580000000000,29215725436,10.593,22540449501,1410000000000,6090000000000,49655685843,42.6014,25.5,44886987524,15311893275,802000000000,5470000000000,44669002040,61436538384,10.7702,15.5271,NA,NA,36.0304,13.2393,79.3229,39.4622,41377503000,47755000000,32756000000,76.7843,1530000000000,4630000000000,32.325,2.1415,25.894,36.9096,271454000,-37566219.63,-2159533555,5260000000000,-4510000,1960000000000,-13085992881,-1600000000000,-13086438188,10243488000,841400000,-4583093936,217.7797,130.8277,94262700170,1.3283,0.8014,24.1027,NA,NA,3554992006,11626805001,21.1623,12.2178,66.58,5,182000000000,29.9919,18.3506,17641023631,3.4457,15776758294,14.4791,NA,0,4303469000,0.2127,223000000,131862349.4,8.9,9.64,8.21,10.7702,8.05292,8.30788,-7.8456,-2.4536,-2.7243,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,17.81301277,1.456976325,NA,NA,0.409588857,0.279038762,0.344560423,16.86005618,15.36979357
"Kenya",0,0,0,NA,NA,-0.11024903,-0.146331895,NA,NA,NA,NA,0,1,0,0,0.111779775,8.2854,11.9198,1.8977,26.0833,2.3233,4.7136,8.2573,3,-832030608.7,130000000000,0.7891,10.8019,125.6231,4,-4.0882,-1101776623,2148793303,6.1935,418236000,457899000,5.1623,37.6391,27.2132,369000000000,26.1296,5.9919,6821889520,4418851914,351000000000,474000000000,7042000000,6934689526,-11.2132,-177000000000,-203000000000,-3022000000,91.0355,0.0371,42.7507,11.0141,691696133.4,2.7003,727730000,0.1337,17248262253,1340000000000,1810000000000,26950310467,135.8206,6.9609,459.5771,35591.185,718.0866,4.1758,1456.4528,1542.2622,54661732011,57882221005,17.1546,7.1736,2300364173,191000000000,311000000000,4623206275,1820000000000,27054595015,58106196950,4122937580,8380974671,20.1777,20.0178,8.9645,17.177,17.1108,312000000000,4629250620,7.2899,13415430010,1050000000000,1390000000000,20586366202,37.3428,12.743,9840437491,7339514284,528000000000,677000000000,10064000000,10144817599,9.7589,4.6546,8.1781,13.3403,43.5727,36.768,62.4399,49.6714,13386590000,4080800000,8989262000,48.4969,371000000000,776000000000,39.1327,3.4342,20.4106,60.6636,253717000,156838538.8,2108351451,669000000000,48583000,259000000000,-191580102.3,7020227222,104284548.3,0,500000,-23528603.26,85.161,26.0565,5694437800,6.0311,1.5459,21.6722,NA,8.2994,2698951940,1459462820,12.716,13.1054,28.7254,10,18810745231,1.6925,45.6232,3355419040,3.969,3355002165,15.4299,NA,268895000,16365000,5.8923,1588000000,645181132.5,6.9609,5.43628,3.77035,9.7589,11.19302,8.61094,-4.0882,-1.50672,-4.94872,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,0.368705107,-0.021081423,-0.002334849,3.724734706,2.692044896
"Kiribati",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,13.8812,NA,6,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,52274282.82,71961546.87,152000000,136567834.7,211.2239,-0.5,549.8678,756.9561,1436.543,-2.0846,2255.5804,2388.4718,214431263.7,227064846.7,NA,NA,NA,NA,NA,NA,216887900,194867834.7,323997485.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5802,NA,NA,NA,NA,NA,NA,NA,9776208,70150000,58.5249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64887900,58300000,NA,NA,NA,NA,NA,NA,NA,NA,NA,119.5158,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.1257,7000000,NA,-0.5,0.99226,3.52448,NA,NA,NA,NA,NA,NA,1,0,NA,NA,0,1,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Korea_Dem_Rep",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1685000000,3053000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,1,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Korea_Rep",0,0,0,-0.022038575,-0.024135157,NA,NA,-0.274838963,-1.330359336,-0.170067824,-0.82321413,1,0,1,1,0.035912308,16.2205,0.801,1.7517,2.8817,4.0156,NA,2.9755,7,-2921619972,21500000000000,-3.7064,18.0784,104.8,5,0.5675,5954300000,10934400000,NA,NA,NA,5.1742,101.8462,99.6451,408000000000000,41.9229,12.6055,442000000000,413000000000,426000000000000,409000000000000,440000000000,461000000000,1.5105,32900000000000,14700000000000,15849170308,69.0624,NA,0.9012,4.4239,-13696700000,0.1505,1578800000,1.4559,734000000000,957000000000000,975000000000000,1050000000000,101.9339,5.1058,15157.6398,19739856.78,21653.3753,4.7609,25021.3684,26832.9545,1210000000000,1300000000000,14.6934,5.393,89253226532,135000000000000,143000000000000,154000000000,977000000000000,1050000000000,1300000000000,379000000000,350000000000,29.4271,3.5468,30.9376,30.7723,30.7155,300000000000000,323000000000,5.0582,387000000000,512000000000000,530000000000000,571000000000,40.4124,11.6788,433000000000,344000000000,393000000000000,394000000000000,424000000000,452000000000,2.544,2.0804,1.3775,6.5517,60.9,88.9893,57.8715,107.0905,1120000000000,371000000000,357000000000,69.4157,86700000000000,594000000000000,60.7992,2.4339,0.332,NA,NA,-2437400000,-3648700000,993000000000000,NA,158000000000000,768500000,1350000000000,1455674408,NA,-28725900000,-24627300000,NA,NA,NA,NA,NA,52.0101,NA,4.3802,63033800000,83608700000,NA,NA,NA,7,-18200000000000,NA,NA,263000000000,6.9739,262000000000,13.9761,3.23,NA,4069800000,0.1075,1127700000,172100000,5.1058,4.3327,NA,2.544,2.91992,3.2016,0.5675,1.733,3.0683,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,2.023073859,1.142021048,NA,NA,1.018461796,0.122756063,0.377943144,NA,NA
"Kuwait",0,0,0,NA,NA,-0.086704216,-0.078442281,-0.471529587,-3.052754008,-0.477213028,-3.089549465,1,1,0,0,0.357306615,NA,NA,NA,NA,NA,NA,4.7693,7,-3218336628,926902500,5.3688,31.1789,108.7346,4,42.3408,47470926759,127368832.3,NA,NA,NA,5.4466,72.4676,69.6466,NA,65.4439,NA,73316596138,NA,NA,20838000640,73373237248,89004777064,35.3569,NA,11258000384,39640846336,44.964,NA,NA,NA,-13563204364,0.1059,118741529.1,12.2034,NA,NA,31840999424,112000000000,NA,NA,NA,NA,42101.9997,NA,NA,NA,NA,NA,14.5567,NA,NA,NA,4634999808,16320422912,35518001152,125000000000,NA,63680545833,20624602797,19.679,NA,55.036,NA,NA,NA,NA,NA,NA,NA,9681999872,34091548672,30.087,NA,33707000375,NA,NA,9580000256,33732395008,36457744935,5.4847,NA,3.0896,8.5363,50.0679,NA,NA,167.7241,188000000000,62376135000,21122477514,74.4751,4083111200,18987246200,54.8158,3.558,19.2623,NA,NA,1573110633,-5076105370,21126174500,NA,5821148788,12937436365,3676999936,12947182592,NA,0,-32899861973,NA,NA,NA,NA,NA,46.808,NA,NA,9636050305,13082397578,NA,NA,NA,4,NA,NA,NA,18776493921,6.1802,16660019546,20.2633,NA,NA,3824232000,NA,NA,0,NA,NA,NA,5.4847,2.97982,2.27206,42.3408,37.15524,28.48821,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,4.287290027,2.538971358,NA,NA,0.663489679,-0.154612263,-0.214552974,NA,NA
"Kyrgyz_Republic",0,1,1,NA,NA,-0.151971326,-0.154756381,NA,NA,NA,NA,0,1,0,0,-0.188169589,-2.4114,4.9659,1.5014,33.5703,1.5485,7.4139,15.3634,8,-327426060.2,-1540750000,-8.8255,29.1974,116.303,2,-6.0974,-228325237.7,1099531538,3.2401,41419000,186897000,5.4069,14.1819,15.2844,7420357038,44.685,25.3338,2021227929,819909505.9,7943244946,62447000000,1673285102,2063853408,-45.2009,NA,-63168000000,-1692604502,119.2237,0,17.0295,15.3611,208102441.6,5.5525,207920000,-0.0049,1840211238,28497102678,140000000000,3744624866,490.3986,8.2113,351.5342,5443.7806,715.3329,7.3287,1893.9952,2005.5832,9914686253,10498826872,17.7532,NA,NA,NA,24810000000,664790996.8,138000000000,3692245618,10351970864,1336976005,2635469814,25.9772,-31.2947,-19.2237,6.6297,6.7237,9264919132,248256139.7,16.4421,2006947530,29279229152,142000000000,3800251876,89.8859,30.6151,3217664612,1719956337,14926387965,126000000000,3365889603,3312669339,10.1751,13.484,19.9152,25.3222,30.8589,35.4867,49.8474,3.2313,121000000,1135000000,2417000000,94.856,32343330000,43125159000,27.0092,0.9823,33.245,83.9035,34752000,-74857077.81,1020490693,19819137000,5462000,33173407214,-52379248.18,-1954793542,-52379248.18,0,1500000,-17732117.49,65.4505,43.2295,1275133515,2.0069,1.1218,7.7151,NA,10.4316,684251924.4,582194798,2.7505,3.1723,6.4743,7,-522887908.4,5.0619,48.9982,1176500810,4.2618,1107224528,33.8204,NA,149830000,219716000,19.0881,714779000,705414972.3,8.2113,5.03918,4.17264,10.1751,5.4353,10.24194,-6.0974,-3.67936,-6.39095,1,0,NA,0,1,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,0.141819121,0.02572204,-0.040005312,16.23236944,14.23332553
"Lao_PDR",0,0,0,NA,NA,0.011554622,0.020839448,NA,NA,NA,NA,0,1,0,0,NA,14.1651,NA,NA,39.896,6.244,9.5859,26.2453,0,-197888633.8,-496000000000,-1.846,8.415,111.6321,0,2.4954,107300000,97500000,4.2003,49162000,235210000,5,6.4954,6.4532,607000000000,35.731,-4.8264,1200800000,71337903.02,562000000000,14700000000000,1536400000,1244500000,-15.2375,-303000000000,-6270000000000,-655200000,77.2134,5.0466,NA,NA,323500000,7.5234,323500000,NA,2740481547,1780000000000,41100000000000,4299909045,2309.9176,7.859,449.8247,292192.8561,705.7903,5.9314,1880.8685,1992.9662,11458875331,12141811799,7.8736,9.0077,146547298.8,1320000000000,3240000000000,338557647.4,39500000000000,4134909045,11675895212,922700000,1064700000,38.0241,38.7296,22.7866,21.368,22.2206,8790000000000,918803456.4,8.8713,1648480505,1150000000000,28500000000000,2981547941,50.9685,24.6147,1140700000,109824828.6,865000000000,21000000000000,2191600000,1234700000,4.5223,5.3781,23.5,28.5,23.7702,NA,NA,NA,NA,922690000,1066850000,46.2694,3060000000000,9770000000000,20.4529,1.4383,38.7179,91.6114,45038000,NA,97500000,2670000000000,34253000,7780000000000,-50300000,-1480000000000,-155000000,0,0,0,266.9725,83.6116,2784255750,3.9503,1.1889,16.317,NA,21.9674,278100000,76000000,0.4131,0.1541,0.7265,4,44540098558,5.6884,21.2054,707646948.5,6.8776,532559448.5,8.2351,NA,25771000,500000,0.0233,1000000,NA,7.859,7.11468,6.43151,4.5223,8.88832,30.73691,2.4954,-2.70882,-1.83242,1,0,NA,1,1,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,0.064953826,-0.034557611,-0.085555896,4.589620715,3.892891035
"Latin_America___Caribbean",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,10.3002,1.8099,1.2597,6.301,4.7393,0.192,11.5102,4,-123000000000,NA,NA,NA,113.1061,3.4643,NA,13931820126,NA,8.0092,72808159000,154000000000,NA,59.4767,36.3279,NA,23.9044,6.1917,864000000000,609000000000,NA,NA,858000000000,917000000000,0.9843,NA,NA,NA,NA,4.4829,16.6531,6.7761,84444708618,2.9732,107000000000,0.6771,2580000000000,NA,NA,3640000000000,NA,5.7577,4617.5996,NA,6512.5834,4.5733,9475.4254,10036.1781,5300000000000,5610000000000,14.2737,4.479,357000000000,NA,NA,528000000000,NA,3550000000000,5470000000000,767000000000,706000000000,22.3748,11.3791,23.2883,22.9795,23.176,NA,NA,7.694,1760000000000,NA,NA,2270000000000,22.9201,13.3752,828000000000,702000000000,NA,NA,843000000000,978000000000,NA,6.3071,7.0211,NA,41.8987,54.2696,72.4839,70.8378,2310000000000,754000000000,735000000000,40.8535,NA,NA,39.6476,NA,NA,NA,15746531000,7557445869,NA,NA,-3362910000,NA,NA,NA,NA,8698824000,29568500000,62294552771,NA,NA,870000000000,7.9893,2.0686,31.6664,NA,NA,96734646464,122000000000,14.4308,16.9629,31.0843,5,NA,4.3844,54.5708,451000000000,7.6709,436000000000,6.004,NA,803782000,3614297000,1.7494,63116646000,59400588467,5.7577,4.91712,3.08853,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.04301046,6.86299908
