DATE,FFR,Tbill,Tb1yr,r5,r10,PPINSA,Finished,CPI,CPICORE,M1NSA,M2SA,M2NSA,Unemp,IndProd,RGDP,Potent,Deflator,Curr
1966Q2,4.91,4.59,4.93,4.9,4.78,33.23,35.03,32.34,20.71,170.13,1410.6,468.63,3.83,34.13,3824.9,3612.1,20.391,42
1966Q3,5.41,5.04,5.51,5.39,5.14,33.57,35.37,32.62,20.89,169.53,1418.9,471.67,3.77,34.66,3850,3652.4,20.601,43
1966Q4,5.56,5.21,5.44,5.21,5,33.33,35.47,32.88,21.07,173.8,1433.2,479.57,3.7,34.99,3881.2,3693.2,20.791,43.9
1967Q1,4.82,4.51,4.6,4.66,4.58,33.37,35.33,32.97,21.19,173.7,1456.4,486.03,3.83,34.8,3915.4,3734.4,20.886,43.8
1967Q2,3.99,3.66,4.25,4.76,4.82,33.3,35.47,33.17,21.33,174.2,1491.3,495.7,3.83,34.66,3916.2,3775.4,20.997,44.2
1967Q3,3.89,4.3,5.13,5.31,5.25,33.43,35.77,33.5,21.52,178.07,1531.8,509.67,3.8,34.89,3947.5,3816.4,21.203,45.1
1967Q4,4.17,4.75,5.56,5.7,5.64,33.5,35.93,33.87,21.74,184.7,1564.2,522.97,3.9,35.83,3977.6,3857.3,21.438,46.2
1968Q1,4.79,5.05,5.47,5.63,5.61,33.97,36.2,34.2,21.98,185.23,1591,530.53,3.73,36.34,4059.5,3897.1,21.672,46.2
1968Q2,5.98,5.52,5.94,5.86,5.74,34.17,36.53,34.53,22.23,186.7,1617.2,538.17,3.57,36.83,4128.5,3936.7,21.899,47.1
1968Q3,5.94,5.2,5.51,5.53,5.46,34.3,36.83,35,22.48,190.4,1648.6,548.97,3.53,37.11,4156.7,3976.2,22.115,48.3
1968Q4,5.92,5.59,5.84,5.78,5.77,34.5,37.07,35.43,22.75,198.2,1686.8,563.57,3.4,37.68,4174.7,4015.6,22.426,49.6
1969Q1,6.57,6.09,6.36,6.33,6.18,35,37.27,35.87,23,199.63,1715.6,571.8,3.4,38.41,4240.5,4055.4,22.66,49.6
1969Q2,8.33,6.2,6.57,6.53,6.35,35.5,37.8,36.43,23.28,199.7,1730.7,576.53,3.43,38.58,4252.8,4095.6,22.952,50.2
1969Q3,8.98,7.02,7.65,7.2,6.86,35.77,38.2,36.93,23.55,200.63,1741.7,580.1,3.57,39.04,4279.7,4135.7,23.28,51.4
1969Q4,8.94,7.35,7.9,7.67,7.3,36.1,38.73,37.5,23.82,205.73,1756.7,586.2,3.57,38.8,4259.6,4175.7,23.581,52.7
1970Q1,8.57,7.21,7.55,7.73,7.37,36.63,39.07,38.1,24.08,205.43,1763.2,587.57,4.17,37.86,4252.9,4215.3,23.915,52.5
1970Q2,7.88,6.68,7.45,7.77,7.71,36.83,39.13,38.63,24.36,206.43,1775.1,593.73,4.77,37.65,4260.7,4254.2,24.247,53.6
1970Q3,6.7,6.33,6.94,7.48,7.46,37.03,39.33,39.03,24.63,208.97,1815.2,604.3,5.17,37.51,4298.6,4292.7,24.438,54.9
1970Q4,5.57,5.35,5.65,6.51,6.85,37.1,39.73,39.6,24.97,215.63,1864,620,5.83,36.7,4253,4330.7,24.752,56.1
1971Q1,3.86,3.84,4.05,5.48,6.02,37.6,40.07,39.93,25.29,217.03,1923.8,641.17,5.93,37.41,4370.3,4368,25.126,56.1
1971Q2,4.56,4.25,4.99,6.15,6.25,38.07,40.47,40.3,25.58,221.03,1998.1,668.5,5.9,37.75,4395.1,4404.8,25.455,57.4
1971Q3,5.47,5.01,5.75,6.51,6.48,38.37,40.6,40.7,25.82,224.7,2057.6,685.23,6.03,37.87,4430.2,4441.6,25.711,59
1971Q4,4.75,4.23,4.73,5.8,5.89,38.4,40.87,41,25.97,229.97,2113.3,702.67,5.93,38.74,4442.5,4478.6,25.918,60.1
1972Q1,3.54,3.44,4.41,5.72,6.03,39.07,41.2,41.33,26.22,231.87,2176.9,725.3,5.77,40.39,4521.9,4516.4,26.319,60
1972Q2,4.3,3.77,4.84,5.98,6.14,39.5,41.5,41.6,26.4,235.07,2231.4,746.53,5.7,41.16,4629.1,4554.5,26.475,61.3
1972Q3,4.74,4.22,5.15,6.08,6.29,40.1,42,41.93,26.59,239.9,2306.5,768.4,5.57,41.68,4673.5,4593.4,26.731,62.8
1972Q4,5.14,4.86,5.44,6.15,6.37,40.5,42.33,42.37,26.76,249.33,2383.1,792.3,5.37,43.14,4750.5,4633.2,27.083,64.7
1973Q1,6.54,5.7,6.31,6.58,6.6,42.47,43.63,43.03,26.95,251.2,2439.7,812.67,4.93,44.38,4872,4674.3,27.403,65
1973Q2,7.82,6.6,7.02,6.72,6.81,44.53,45.07,43.93,27.32,253.73,2479.8,829.47,4.93,44.73,4928.4,4717.1,27.828,66.8
1973Q3,10.56,8.32,8.51,7.34,7.21,46.37,46.43,44.8,27.68,256.73,2514.6,838.03,4.8,45.12,4902.1,4761,28.37,68.5
1973Q4,10,7.5,7.41,6.83,6.75,46.73,47.2,45.93,28.07,263.73,2547,847.03,4.77,45.79,4948.8,4805.7,28.932,70.2
1974Q1,9.32,7.62,7.35,7.03,7.05,49.87,49.57,47.3,28.55,264.4,2594,863.73,5.13,45.37,4905.4,4851.5,29.488,70.8
1974Q2,11.25,8.15,8.69,8.07,7.54,51.6,51.1,48.57,29.26,266.7,2625.3,877.97,5.2,45.41,4918,4898.3,30.192,73
1974Q3,12.09,8.19,9.01,8.46,7.96,55.27,53.57,49.93,30.1,269.3,2653.4,884.53,5.63,45.22,4869.4,4945.4,31.085,74.8
1974Q4,9.35,7.36,7.67,7.65,7.67,57.2,56.03,51.47,30.84,276.4,2694,896.43,6.6,43.43,4850.2,4992.2,32.015,77.2
