Date,Open,High,Low,Close,Volume,Adj Close
25/2/16,194.710007,196.559998,193.820007,196.5,2718800,196.5
24/2/16,191.589996,194.5,190.270004,194.220001,2943300,194.220001
23/2/16,195.020004,195.279999,193.160004,193.339996,2719200,193.339996
22/2/16,194.850006,195.929993,194.789993,195.720001,2509800,195.720001
19/2/16,192.130005,193.139999,191.419998,192.929993,2221600,192.929993
18/2/16,194.199997,194.25,192.690002,193.050003,3707700,193.050003
17/2/16,192.119995,194.279999,191.970001,193.830002,3878300,193.830002
16/2/16,189.759995,190.740005,188.559998,190.669998,3423100,190.669998
12/2/16,185.839996,187.580002,184.869995,187.550003,3273100,187.550003
11/2/16,183.179993,184.960007,182.020004,183.830002,5834000,183.830002
10/2/16,187.300003,189.240005,186.039993,186.149994,3831300,186.149994
9/2/16,184.210007,187.869995,184.110001,186.240005,5378700,186.240005
8/2/16,186.679993,187,183.720001,186.309998,8093400,186.309998
5/2/16,191.960007,192.020004,188.139999,188.850006,5371300,188.850006
4/2/16,191.710007,193.690002,190.929993,192.529999,4500900,192.529999
3/2/16,192.389999,192.720001,188.050003,192.110001,7296500,192.110001
2/2/16,192.940002,192.940002,190.479996,191.089996,7100900,191.089996
1/2/16,193.470001,195.529999,192.800003,194.600006,6204900,194.600006
29/1/16,190.940002,194.690002,190.820007,194.619995,7796800,194.619995
28/1/16,190.899994,191.100006,188.080002,190.110001,5354200,190.110001
27/1/16,190.610001,192.5,187.979996,189.080002,5601700,189.080002
26/1/16,189.360001,191.440002,188.940002,191.130005,4655700,191.130005
25/1/16,190.860001,191.080002,188.339996,188.570007,4088400,188.570007
22/1/16,190.710007,191.669998,189.820007,191.490005,4367100,191.490005
21/1/16,187.110001,189.789993,185.580002,187.619995,8796600,187.619995
20/1/16,185.929993,188.410004,181.899994,186.649994,10170600,186.649994
19/1/16,190.800003,191.009995,187.119995,188.839996,7609500,188.839996
15/1/16,187.639999,189.690002,186.460007,188.740005,8833200,188.740005
14/1/16,190.479996,194.199997,188.570007,192.800003,6909900,192.800003
13/1/16,195.350006,195.809998,189.300003,189.789993,7003900,189.789993
12/1/16,194.850006,195.5,192.080002,194.520004,5444600,194.520004
11/1/16,193.949997,194.330002,190.779999,193.029999,7486800,193.029999
8/1/16,196.139999,196.809998,192.520004,192.830002,8904100,192.830002
7/1/16,196.300003,198.399994,194.570007,194.990005,7545000,194.990005
6/1/16,199.360001,201.020004,198.570007,199.770004,5496600,199.770004
