date,spx,nky,ukx,as51
1985-08-30,188.630005,12713,1340.800049,937.799988
1985-09-03,187.910004,12531,1335.5,937.299988
1985-09-04,187.369995,12530,1326.699951,934.400024
1985-09-05,187.270004,12492,1322,934.400024
1985-09-06,188.240005,12454,1332.199951,943.400024
1985-09-09,188.25,12456,1329.300049,955
1985-09-10,186.899994,12520,1311.400024,956
1985-09-11,185.029999,12625,1302.199951,956
1985-09-12,183.690002,12603,1313.300049,955.299988
1985-09-13,182.910004,12586,1308.800049,963.299988
1985-09-16,182.880005,12586,1300.199951,963.299988
1985-09-17,181.360001,12592,1296,962
1985-09-18,181.710007,12530,1294.800049,945.400024
1985-09-19,183.389999,12565,1306.800049,943.200012
1985-09-20,182.050003,12667,1298.699951,945.700012
1985-09-23,184.300003,12667,1292.099976,959.599976
1985-09-24,182.619995,12756,1280.099976,960.799988
1985-09-25,180.660004,12705,1275.199951,961.299988
1985-09-26,181.289993,12690,1270.800049,971.700012
1985-09-30,182.080002,12700,1290,987
1985-10-01,185.070007,12685,1296,994.200012
1985-10-02,184.059998,12721,1305.400024,1009.200012
1985-10-03,184.360001,12701,1305.300049,1006.5
1985-10-04,183.220001,12714,1313,1011.900024
1985-10-07,181.869995,12792,1306.900024,1017
1985-10-08,181.869995,12835,1303.300049,1017.599976
1985-10-09,182.520004,12857,1308.099976,1023.599976
1985-10-10,182.779999,12857,1314.099976,1035.199951
1985-10-11,184.279999,12850,1322.300049,1033.400024
1985-10-14,186.369995,13017,1321.099976,1036.5
1985-10-15,186.080002,13056,1320.900024,1030.800049
1985-10-16,187.979996,13037,1326.199951,1033.900024
1985-10-17,187.660004,13021,1335.699951,1034
1985-10-18,187.039993,12973,1341.199951,1035.199951
1985-10-21,186.960007,13026,1340.300049,1040.800049
1985-10-22,188.039993,13002,1331.5,1042.400024
1985-10-23,189.089996,12947,1346.400024,1046
1985-10-24,188.5,12969,1349.599976,1051.699951
1985-10-25,187.520004,12855,1347.599976,1052.099976
1985-10-28,187.759995,12957,1347.800049,1045.599976
1985-10-29,189.229996,12914,1364.400024,1032.599976
1985-10-30,190.070007,12909,1373.800049,1045.599976
1985-10-31,189.820007,12939,1377.199951,1027
1985-11-01,191.529999,12808,1379,1045.599976
1985-11-04,191.25,12808,1380.900024,1015.5
1985-11-05,192.369995,12821,1383.699951,1014.599976
1985-11-06,192.759995,12882,1395,1005.799988
1985-11-07,192.619995,12851,1384.800049,1002
1985-11-08,193.720001,12851,1390.099976,1012.400024
1985-11-11,197.279999,12821,1375.5,1031.599976
1985-11-12,198.080002,12735,1381.599976,1031.599976
1985-11-13,197.100006,12716,1396.900024,1010.299988
1985-11-14,199.059998,12590,1391.699951,1009.900024
1985-11-15,198.110001,12857,1403.900024,1003.5
1985-11-18,198.710007,12701,1405.099976,995.299988
1985-11-19,198.669998,12607,1412.099976,983.900024
1985-11-20,198.990005,12643,1424.300049,986.400024
1985-11-21,201.410004,12697,1443.099976,984.299988
1985-11-22,201.520004,12758,1451,991.900024
1985-11-25,200.350006,12783,1455.5,1000.200012
1985-11-26,200.669998,12778,1431.900024,996.400024
1985-11-27,202.539993,12741,1438,994.599976
1985-11-29,202.169998,12763,1439.099976,990.700012
1985-12-02,200.460007,12797,1418.5,988.200012
1985-12-03,200.860001,12775,1415.599976,986.700012
1985-12-04,204.229996,12811,1399.599976,987.599976
1985-12-05,203.880005,12864,1395.300049,986.200012
1985-12-06,202.990005,12794,1401.900024,984.299988
1985-12-09,204.25,12798,1392.199951,985.799988
1985-12-10,204.389999,12851,1389.5,980.799988
1985-12-11,206.309998,12972,1377.400024,980.700012
1985-12-12,206.729996,13050,1378.5,977.700012
1985-12-13,209.940002,13108,1381.400024,976
1985-12-16,212.020004,13118,1376.5,974.799988
1985-12-17,210.649994,13129,1365.400024,980.5
1985-12-18,209.809998,13102,1378.800049,986
1985-12-19,210.020004,13115,1390.699951,987
1985-12-20,210.940002,13011,1386.5,986.599976
1985-12-23,208.570007,13043,1388.599976,986.599976
1985-12-24,207.139999,13101,1391.5,994.400024
1985-12-26,207.649994,13085,1391.5,994.400024
1985-12-27,209.610001,13083,1398.900024,997.200012
1985-12-30,210.679993,13083,1413.599976,1001.599976
1985-12-31,211.279999,13083,1412.599976,1003.799988
1986-01-02,209.589996,13083,1420.5,1010.799988
1986-01-03,210.880005,13083,1429.800049,1020.400024
1986-01-06,210.649994,13054,1424.099976,1028
1986-01-07,213.800003,12991,1415.199951,1032.400024
1986-01-08,207.970001,13056,1404.199951,1041.599976
1986-01-09,206.110001,13034,1379.599976,1043.900024
1986-01-10,205.960007,12898,1394.5,1044.199951
1986-01-13,206.720001,12977,1384.599976,1051.099976
1986-01-14,206.639999,12929,1370.099976,1048.900024
1986-01-15,208.259995,12929,1390.5,1050.5
1986-01-16,209.169998,13027,1394.5,1060.900024
1986-01-17,208.429993,13010,1396,1066.699951
1986-01-20,207.529999,12952,1378.300049,1065.599976
1986-01-21,205.789993,12882,1378.099976,1067.699951
1986-01-22,203.490005,12923,1390.900024,1069
1986-01-23,204.25,12889,1382.800049,1059.900024
1986-01-24,206.429993,12904,1392,1052.900024
1986-01-27,207.389999,12983,1405,1052.900024
1986-01-28,209.809998,12994,1426.300049,1055.599976
1986-01-29,210.289993,12937,1421,1060.5
1986-01-30,209.330002,12949,1429.099976,1074.199951
1986-01-31,211.779999,13024,1435,1075.099976
1986-02-03,213.960007,13087,1425.099976,1072.900024
1986-02-04,212.789993,13138,1431.599976,1075.599976
1986-02-05,212.960007,13186,1424.099976,1060.699951
1986-02-06,213.470001,13187,1426.900024,1066.900024
1986-02-07,214.559998,13212,1445,1069.400024
1986-02-10,216.240005,13226,1461.5,1068.900024
1986-02-11,215.919998,13226,1453.900024,1064.5
1986-02-12,215.970001,13301,1470,1055.199951
1986-02-13,217.399994,13296,1473.5,1039.699951
1986-02-14,219.759995,13343,1477.900024,1046.699951
1986-02-18,222.449997,13436,1491.900024,1047.099976
1986-02-19,219.759995,13467,1491.400024,1049.599976
1986-02-20,222.220001,13355,1492.099976,1052.300049
1986-02-21,224.619995,13394,1518,1057
1986-02-24,224.339996,13506,1533,1062
1986-02-25,223.789993,13576,1527.699951,1046.599976
1986-02-26,224.039993,13622,1534.599976,1047
1986-02-27,226.770004,13642,1549.5,1041.599976
1986-02-28,226.919998,13641,1543.900024,1041.599976
1986-03-03,225.419998,13768,1534.900024,1041.599976
1986-03-04,224.380005,13785,1548.900024,1058.300049
1986-03-05,224.339996,13807,1569.099976,1058.400024
1986-03-06,225.130005,13902,1566.099976,1053.699951
1986-03-07,225.570007,13995,1573.800049,1055
1986-03-10,226.580002,14057,1572.199951,1055
1986-03-11,231.690002,14066,1597.099976,1063.099976
1986-03-12,232.539993,14238,1624.5,1076.900024
1986-03-13,233.190002,14415,1616.699951,1085.800049
1986-03-14,236.550003,14517,1624.400024,1089.5
1986-03-17,234.669998,14656,1622.599976,1112.199951
1986-03-18,235.779999,14639,1644.400024,1124.400024
1986-03-19,235.600006,14477,1659.800049,1123.300049
1986-03-20,236.539993,14753,1690.099976,1128.099976
1986-03-21,233.339996,15014,1688.300049,1136.699951
1986-03-24,235.330002,14975,1663.900024,1156.800049
1986-03-25,234.720001,14827,1633.800049,1168.699951
1986-03-26,237.300003,14827,1653.900024,1165.699951
1986-03-27,238.970001,15337,1668.800049,1136.5
1986-03-31,238.899994,15860,1668.800049,1136.5
1986-04-01,235.139999,15746,1684,1131.5
1986-04-02,235.710007,15556,1702.900024,1136
1986-04-03,232.470001,15272,1717.599976,1144.199951
1986-04-04,228.690002,15020,1709.699951,1153.900024
1986-04-07,228.630005,15062,1688.5,1148.5
1986-04-08,233.520004,15014,1675.699951,1148.300049
1986-04-09,233.75,15110,1659,1153.900024
1986-04-10,236.440002,15204,1690.300049,1195.599976
1986-04-11,235.970001,15326,1694.099976,1214.599976
1986-04-14,237.279999,15397,1683.099976,1202.199951
1986-04-15,237.729996,15352,1654.800049,1198.5
1986-04-16,242.220001,15358,1662,1202.599976
1986-04-17,243.029999,15487,1680.900024,1216.800049
1986-04-18,242.380005,15759,1680.199951,1218.400024
1986-04-21,244.740005,15827,1668,1218.400024
1986-04-22,242.419998,15713,1665.199951,1206.5
1986-04-23,241.75,15748,1632.699951,1207.300049
1986-04-24,242.020004,15682,1615.5,1210.400024
1986-04-25,242.289993,15690,1622.599976,1210.400024
1986-04-28,243.080002,15758,1628.800049,1206.900024
1986-04-29,240.509995,15758,1656.300049,1209.099976
1986-04-30,235.520004,15826,1660.5,1210.599976
1986-05-01,235.160004,15783,1640.099976,1212.900024
1986-05-02,234.789993,15783,1652.5,1224.699951
1986-05-05,237.729996,15783,1652.5,1231.400024
1986-05-06,237.240005,15900,1636.199951,1238.300049
1986-05-07,236.080002,15954,1610.099976,1247
1986-05-08,237.130005,16078,1602.599976,1242.599976
1986-05-09,237.850006,16105,1601.599976,1232.099976
1986-05-12,237.580002,16195,1603.800049,1218.300049
1986-05-13,236.410004,15982,1623.300049,1201.800049
1986-05-14,237.539993,15944,1594.300049,1222.400024
1986-05-15,234.429993,15925,1575.699951,1222.400024
1986-05-16,232.759995,15739,1564.900024,1194.300049
1986-05-19,233.199997,15698,1573.099976,1197.900024
1986-05-20,236.110001,15690,1585.800049,1176.300049
1986-05-21,235.449997,15808,1591.900024,1172.900024
1986-05-22,240.119995,15917,1598.800049,1174.599976
1986-05-23,241.350006,16205,1617.400024,1191.699951
1986-05-27,244.75,16467,1612.099976,1200.900024
1986-05-28,246.630005,16553,1624.800049,1208.800049
1986-05-29,247.979996,16611,1609,1228.300049
1986-05-30,247.350006,16739,1602.800049,1241
1986-06-02,245.039993,16739,1596.5,1229.300049
1986-06-03,245.509995,16670,1602.199951,1220.5
1986-06-04,243.940002,16803,1601.400024,1223.400024
1986-06-05,245.649994,16811,1612.599976,1227.800049
1986-06-06,245.669998,16818,1611.900024,1230.199951
1986-06-09,239.960007,17008,1604.599976,1230.199951
