"Index","Mkt.RF","SMB","HML","RF","RFJ","JPY.r","Mkt.RFJ","SMBJ","HMLJ"
"1993-07-31",0.0671,-0.0479,0.0036,0.0024,0.00225189881268628,0.0166587339362207,0.0497235225356283,-0.0471151217228464,0.00354101123595506
"1993-08-31",0.0215,-0.0051,0.0032,0.0025,0.00214289603824724,0.00305547598586831,0.0187378274267695,-0.00508446454069491,0.00319025226082818
"1993-09-30",-0.052,0.0087,-0.0065,0.0026,0.00188940823325212,-0.0124469589816123,-0.0393081994105654,0.00880965339444285,-0.0065819249498711
"1993-10-31",-0.0256,-0.0767,0.0019,0.0022,0.00162457198438704,-0.021227503461006,-0.00384418537429743,-0.0783634606317775,0.00194120697784064
"1993-11-30",-0.1622,-0.0154,-0.0037,0.0025,0.00134336331631313,-0.00669233590025675,-0.155381905079119,-0.0155037563451777,-0.00372492847254269
"1993-12-31",0.02,-0.0092,0.0281,0.0023,0.00119461952312516,-0.0234556848701881,0.0456600742795885,-0.00942097543087642,0.028774935826916
"1994-01-31",0.1687,0.012,0.0359,0.0025,0.00172029616407832,0.0274098601913171,0.138233723531535,0.0116798567591764,0.0349422381378693
"1994-02-28",0.0388,0.0093,0.0246,0.0021,0.0018608364546211,0.0431778929188256,-0.00404444572614437,0.00891506622516556,0.0235817880794702
"1994-03-31",-0.0223,0.0555,0.0201,0.0027,0.00186981712232526,0.0177734375,-0.0385906000814502,0.0545308002302821,0.0197489925158319
"1994-04-30",0.0329,0.0221,0,0.0027,0.00187879690459614,0.00342969132778048,0.0301815546579036,0.022024462890625,0
"1994-05-31",0.0123,-0.0203,0.0278,0.0032,0.00180856772531612,-0.0256826427343898,0.0404596341365164,-0.0208351004409603,0.0285327976482117
"1994-06-30",0.0602,0.0456,0.0385,0.0031,0.00183307242722552,0.0632423104253375,-0.00177881426415483,0.0428876837884285,0.0362099961810197
"1994-07-31",-0.0411,0.0097,-0.0059,0.0028,0.00189185682584836,-0.0153923038480759,-0.0251576674034547,0.00985163942746929,-0.00599223429093493
"1994-08-31",-0.0029,-0.0225,0.006,0.0037,0.00218032960297032,-0.000599340725202402,-0.000780149692925391,-0.0225134932533733,0.00600359820089955
